X;Y;X;Y;X;Y;X;Y
0;0;238,349;0,006;58,491;1,307;247,5;0
0,625;0;346,557;0,024;;;247,5;0,013
1,25;0;152,661;0,017;;;247,5;2
1,875;0;23,806;0,027;;;;
2,5;0;;;;;;
3,125;0;;;;;;
3,75;0;;;;;;
4,375;0;;;;;;
5;0;;;;;;
5,625;0;;;;;;
6,25;0;;;;;;
6,875;0;;;;;;
7,5;0;;;;;;
8,125;0;;;;;;
8,75;0;;;;;;
9,375;0;;;;;;
10;0,013;;;;;;
10,625;0,028;;;;;;
11,25;0,015;;;;;;
11,875;0,02;;;;;;
12,5;0,029;;;;;;
13,125;0,005;;;;;;
13,75;0,01;;;;;;
14,375;0,005;;;;;;
15;0,009;;;;;;
15,625;0,011;;;;;;
16,25;0,027;;;;;;
16,875;0,018;;;;;;
17,5;0,008;;;;;;
18,125;0,006;;;;;;
18,75;0,012;;;;;;
19,375;0,009;;;;;;
20;0,003;;;;;;
20,625;0,006;;;;;;
21,25;0,003;;;;;;
21,875;0,002;;;;;;
22,5;0,009;;;;;;
23,125;0,009;;;;;;
23,75;0,027;;;;;;
24,375;0,008;;;;;;
25;0,021;;;;;;
25,625;0,014;;;;;;
26,25;0,004;;;;;;
26,875;0,001;;;;;;
27,5;0,004;;;;;;
28,125;0,004;;;;;;
28,75;0,003;;;;;;
29,375;0,002;;;;;;
30;0,004;;;;;;
30,625;0,002;;;;;;
31,25;0,004;;;;;;
31,875;0,003;;;;;;
32,5;0,003;;;;;;
33,125;0,004;;;;;;
33,75;0,002;;;;;;
34,375;0,004;;;;;;
35;0,004;;;;;;
35,625;0,006;;;;;;
36,25;0,003;;;;;;
36,875;0,002;;;;;;
37,5;0,004;;;;;;
38,125;0,003;;;;;;
38,75;0,003;;;;;;
39,375;0,005;;;;;;
40;0,005;;;;;;
40,625;0,004;;;;;;
41,25;0,002;;;;;;
41,875;0;;;;;;
42,5;0,001;;;;;;
43,125;0,002;;;;;;
43,75;0,002;;;;;;
44,375;0,004;;;;;;
45;0,004;;;;;;
45,625;0,002;;;;;;
46,25;0,003;;;;;;
46,875;0,004;;;;;;
47,5;0,009;;;;;;
48,125;0,004;;;;;;
48,75;0,001;;;;;;
49,375;0,001;;;;;;
50;0,003;;;;;;
50,625;0,002;;;;;;
51,25;0,005;;;;;;
51,875;0,007;;;;;;
52,5;0,002;;;;;;
53,125;0,002;;;;;;
53,75;0,004;;;;;;
54,375;0,006;;;;;;
55;0,011;;;;;;
55,625;0,004;;;;;;
56,25;0,012;;;;;;
56,875;0,025;;;;;;
57,5;0,2;;;;;;
58,125;1,177;;;;;;
58,75;1,307;;;;;;
59,375;0,322;;;;;;
60;0,033;;;;;;
60,625;0,017;;;;;;
61,25;0,012;;;;;;
61,875;0,019;;;;;;
62,5;0,006;;;;;;
63,125;0,005;;;;;;
63,75;0,006;;;;;;
64,375;0,006;;;;;;
65;0,009;;;;;;
65,625;0,013;;;;;;
66,25;0,007;;;;;;
66,875;0,018;;;;;;
67,5;0,013;;;;;;
68,125;0,006;;;;;;
68,75;0,012;;;;;;
69,375;0,011;;;;;;
70;0,013;;;;;;
70,625;0,013;;;;;;
71,25;0,002;;;;;;
71,875;0,005;;;;;;
72,5;0,012;;;;;;
73,125;0,01;;;;;;
73,75;0,011;;;;;;
74,375;0,015;;;;;;
75;0,01;;;;;;
75,625;0,007;;;;;;
76,25;0,007;;;;;;
76,875;0,011;;;;;;
77,5;0,01;;;;;;
78,125;0,008;;;;;;
78,75;0,008;;;;;;
79,375;0,012;;;;;;
80;0,012;;;;;;
80,625;0,008;;;;;;
81,25;0,003;;;;;;
81,875;0,011;;;;;;
82,5;0,003;;;;;;
83,125;0,006;;;;;;
83,75;0,014;;;;;;
84,375;0,027;;;;;;
85;0,029;;;;;;
85,625;0,022;;;;;;
86,25;0,015;;;;;;
86,875;0,015;;;;;;
87,5;0,021;;;;;;
88,125;0,019;;;;;;
88,75;0,008;;;;;;
89,375;0,02;;;;;;
90;0,014;;;;;;
90,625;0,02;;;;;;
91,25;0,019;;;;;;
91,875;0,01;;;;;;
92,5;0,005;;;;;;
93,125;0,003;;;;;;
93,75;0,013;;;;;;
94,375;0,014;;;;;;
95;0,001;;;;;;
95,625;0,009;;;;;;
96,25;0,011;;;;;;
96,875;0,01;;;;;;
97,5;0,009;;;;;;
98,125;0,011;;;;;;
98,75;0,012;;;;;;
99,375;0,014;;;;;;
100;0,01;;;;;;
100,625;0,004;;;;;;
101,25;0,007;;;;;;
101,875;0,002;;;;;;
102,5;0,007;;;;;;
103,125;0,008;;;;;;
103,75;0,016;;;;;;
104,375;0,001;;;;;;
105;0,019;;;;;;
105,625;0,016;;;;;;
106,25;0,017;;;;;;
106,875;0,027;;;;;;
107,5;0,013;;;;;;
108,125;0,005;;;;;;
108,75;0,006;;;;;;
109,375;0,036;;;;;;
110;0,076;;;;;;
110,625;0,07;;;;;;
111,25;0,043;;;;;;
111,875;0,041;;;;;;
112,5;0,06;;;;;;
113,125;0,078;;;;;;
113,75;0,057;;;;;;
114,375;0,066;;;;;;
115;0,101;;;;;;
115,625;0,048;;;;;;
116,25;0,56;;;;;;
116,875;1,354;;;;;;
117,5;0,857;;;;;;
118,125;0,067;;;;;;
118,75;0,033;;;;;;
119,375;0,049;;;;;;
120;0,032;;;;;;
120,625;0,023;;;;;;
