X;Y;X;Y;X;Y;X;Y
0;0;170,342;0,016;41,802;0,295;25;0
0,625;0;247,676;0,01;;;25;0,012
1,25;0;109,103;0,002;;;25;0,5
1,875;0;17,013;0,007;;;;
2,5;0;;;;;;
3,125;0;;;;;;
3,75;0;;;;;;
4,375;0;;;;;;
5;0;;;;;;
5,625;0;;;;;;
6,25;0;;;;;;
6,875;0;;;;;;
7,5;0;;;;;;
8,125;0;;;;;;
8,75;0;;;;;;
9,375;0;;;;;;
10;0,0104;;;;;;
10,625;0,0074;;;;;;
11,25;0,0044;;;;;;
11,875;0,0063;;;;;;
12,5;0,0043;;;;;;
13,125;0,0082;;;;;;
13,75;0,0175;;;;;;
14,375;0,0133;;;;;;
15;0,0042;;;;;;
15,625;0,0043;;;;;;
16,25;0,0069;;;;;;
16,875;0,0069;;;;;;
17,5;0,0043;;;;;;
18,125;0,0133;;;;;;
18,75;0,0047;;;;;;
19,375;0,0105;;;;;;
20;0,0075;;;;;;
20,625;0,002;;;;;;
21,25;0,0014;;;;;;
21,875;0,0023;;;;;;
22,5;0,0017;;;;;;
23,125;0,0059;;;;;;
23,75;0,0151;;;;;;
24,375;0,0119;;;;;;
25;0,012;;;;;;
25,625;0,0096;;;;;;
26,25;0,0019;;;;;;
26,875;0,0011;;;;;;
27,5;0,0011;;;;;;
28,125;0,0006;;;;;;
28,75;0,001;;;;;;
29,375;0,0017;;;;;;
30;0,0011;;;;;;
30,625;0,0007;;;;;;
31,25;0,0031;;;;;;
31,875;0,0035;;;;;;
32,5;0,0012;;;;;;
33,125;0,0011;;;;;;
33,75;0,0006;;;;;;
34,375;0,001;;;;;;
35;0,0011;;;;;;
35,625;0,0011;;;;;;
36,25;0,0014;;;;;;
36,875;0,0011;;;;;;
37,5;0,0037;;;;;;
38,125;0,0031;;;;;;
38,75;0,0013;;;;;;
39,375;0,0025;;;;;;
40;0,0015;;;;;;
40,625;0,0066;;;;;;
41,25;0,1759;;;;;;
41,875;0,2948;;;;;;
42,5;0,1236;;;;;;
43,125;0,0018;;;;;;
43,75;0,0027;;;;;;
44,375;0,0003;;;;;;
45;0,0006;;;;;;
45,625;0,0005;;;;;;
46,25;0,0006;;;;;;
46,875;0,0027;;;;;;
47,5;0,006;;;;;;
48,125;0,0023;;;;;;
48,75;0,0009;;;;;;
49,375;0,0009;;;;;;
50;0,0015;;;;;;
50,625;0,0014;;;;;;
51,25;0,0015;;;;;;
51,875;0,0022;;;;;;
52,5;0,0004;;;;;;
53,125;0,0027;;;;;;
53,75;0,0019;;;;;;
54,375;0,0002;;;;;;
55;0,0007;;;;;;
55,625;0,0027;;;;;;
56,25;0,0034;;;;;;
56,875;0,0012;;;;;;
57,5;0,0016;;;;;;
58,125;0,0021;;;;;;
58,75;0,0033;;;;;;
59,375;0,002;;;;;;
60;0,0028;;;;;;
60,625;0,002;;;;;;
61,25;0,0026;;;;;;
61,875;0,0005;;;;;;
62,5;0,0021;;;;;;
63,125;0,0024;;;;;;
63,75;0,0021;;;;;;
64,375;0,0036;;;;;;
65;0,0061;;;;;;
65,625;0,0067;;;;;;
66,25;0,0029;;;;;;
66,875;0,0045;;;;;;
67,5;0,0034;;;;;;
68,125;0,0057;;;;;;
68,75;0,0061;;;;;;
69,375;0,0029;;;;;;
70;0,005;;;;;;
70,625;0,0072;;;;;;
71,25;0,0043;;;;;;
71,875;0,0009;;;;;;
72,5;0,0017;;;;;;
73,125;0,0005;;;;;;
73,75;0,0049;;;;;;
74,375;0,0032;;;;;;
75;0,0045;;;;;;
75,625;0,0169;;;;;;
76,25;0,0153;;;;;;
76,875;0,0043;;;;;;
77,5;0,0092;;;;;;
78,125;0,0076;;;;;;
78,75;0,0054;;;;;;
79,375;0,0279;;;;;;
80;0,0231;;;;;;
80,625;0,0035;;;;;;
81,25;0,0014;;;;;;
81,875;0,0103;;;;;;
82,5;0,0159;;;;;;
83,125;0,2319;;;;;;
83,75;0,3312;;;;;;
84,375;0,1197;;;;;;
85;0,0009;;;;;;
85,625;0,0023;;;;;;
86,25;0,0058;;;;;;
86,875;0,0091;;;;;;
87,5;0,0108;;;;;;
88,125;0,005;;;;;;
88,75;0,0024;;;;;;
89,375;0,0094;;;;;;
90;0,0103;;;;;;
90,625;0,0017;;;;;;
91,25;0,0089;;;;;;
91,875;0,0088;;;;;;
92,5;0,01;;;;;;
93,125;0,0059;;;;;;
93,75;0,013;;;;;;
94,375;0,0076;;;;;;
95;0,0011;;;;;;
95,625;0,0041;;;;;;
96,25;0,0043;;;;;;
96,875;0,0085;;;;;;
97,5;0,0178;;;;;;
98,125;0,0145;;;;;;
98,75;0,0085;;;;;;
99,375;0,0057;;;;;;
100;0,0037;;;;;;
100,625;0,005;;;;;;
101,25;0,0012;;;;;;
101,875;0,0092;;;;;;
102,5;0,0086;;;;;;
103,125;0,0023;;;;;;
103,75;0,0088;;;;;;
104,375;0,0086;;;;;;
105;0,0071;;;;;;
105,625;0,0081;;;;;;
106,25;0,0042;;;;;;
106,875;0,0028;;;;;;
107,5;0,0028;;;;;;
108,125;0,0008;;;;;;
108,75;0,0044;;;;;;
109,375;0,0019;;;;;;
110;0,0087;;;;;;
110,625;0,006;;;;;;
111,25;0,0032;;;;;;
111,875;0,0053;;;;;;
112,5;0,017;;;;;;
113,125;0,0151;;;;;;
113,75;0,0117;;;;;;
114,375;0,0103;;;;;;
115;0,0119;;;;;;
115,625;0,0152;;;;;;
116,25;0,0058;;;;;;
116,875;0,0135;;;;;;
117,5;0,0338;;;;;;
118,125;0,0339;;;;;;
118,75;0,0113;;;;;;
119,375;0,0037;;;;;;
120;0,0054;;;;;;
120,625;0,0083;;;;;;
121,25;0,0435;;;;;;
121,875;0,0345;;;;;;
122,5;0,0076;;;;;;
123,125;0,0012;;;;;;
123,75;0,0035;;;;;;
124,375;0,0082;;;;;;
125;0,0655;;;;;;
125,625;0,0792;;;;;;
126,25;0,0225;;;;;;
126,875;0,002;;;;;;
127,5;0,0014;;;;;;
128,125;0,002;;;;;;
128,75;0,0068;;;;;;
129,375;0,012;;;;;;
130;0,0069;;;;;;
130,625;0,0033;;;;;;
131,25;0,0029;;;;;;
131,875;0,0036;;;;;;
132,5;0,005;;;;;;
133,125;0,0054;;;;;;
133,75;0,0044;;;;;;
134,375;0,0093;;;;;;
135;0,0073;;;;;;
135,625;0,0106;;;;;;
136,25;0,0041;;;;;;
136,875;0,0019;;;;;;
137,5;0,0008;;;;;;
138,125;0,0055;;;;;;
138,75;0,0061;;;;;;
139,375;0,0141;;;;;;
140;0,0111;;;;;;
140,625;0,0051;;;;;;
141,25;0,0017;;;;;;
141,875;0,0052;;;;;;
142,5;0,0051;;;;;;
143,125;0,0014;;;;;;
143,75;0,0081;;;;;;
144,375;0,0074;;;;;;
145;0,0043;;;;;;
145,625;0,0097;;;;;;
146,25;0,0079;;;;;;
146,875;0,0009;;;;;;
147,5;0,0038;;;;;;
148,125;0,0064;;;;;;
148,75;0,0089;;;;;;
149,375;0,0064;;;;;;
150;0,0046;;;;;;
150,625;0,0025;;;;;;
151,25;0,0064;;;;;;
151,875;0,0071;;;;;;
152,5;0,0114;;;;;;
153,125;0,0187;;;;;;
153,75;0,013;;;;;;
154,375;0,0214;;;;;;
155;0,0134;;;;;;
155,625;0,0132;;;;;;
156,25;0,009;;;;;;
156,875;0,0065;;;;;;
157,5;0,0088;;;;;;
158,125;0,0105;;;;;;
158,75;0,007;;;;;;
159,375;0,0272;;;;;;
160;0,0232;;;;;;
160,625;0,0092;;;;;;
161,25;0,0052;;;;;;
161,875;0,0024;;;;;;
162,5;0,0086;;;;;;
163,125;0,0211;;;;;;
163,75;0,0079;;;;;;
164,375;0,0125;;;;;;
165;0,0124;;;;;;
165,625;0,0074;;;;;;
166,25;0,0187;;;;;;
166,875;0,1155;;;;;;
167,5;0,1202;;;;;;
168,125;0,031;;;;;;
168,75;0,0041;;;;;;
169,375;0,0057;;;;;;
170;0,012;;;;;;
170,625;0,0159;;;;;;
171,25;0,0166;;;;;;
171,875;0,0121;;;;;;
172,5;0,011;;;;;;
173,125;0,0177;;;;;;
173,75;0,017;;;;;;
174,375;0,0046;;;;;;
175;0,0109;;;;;;
175,625;0,0017;;;;;;
176,25;0,0086;;;;;;
176,875;0,006;;;;;;
177,5;0,0014;;;;;;
178,125;0,008;;;;;;
178,75;0,0066;;;;;;
179,375;0,0021;;;;;;
180;0,0059;;;;;;
180,625;0,0109;;;;;;
181,25;0,0146;;;;;;
181,875;0,0094;;;;;;
182,5;0,0086;;;;;;
183,125;0,0016;;;;;;
183,75;0,0046;;;;;;
184,375;0,0013;;;;;;
185;0,005;;;;;;
185,625;0,0049;;;;;;
186,25;0,004;;;;;;
186,875;0,0067;;;;;;
187,5;0,0019;;;;;;
188,125;0,0053;;;;;;
188,75;0,0091;;;;;;
189,375;0,0086;;;;;;
190;0,0088;;;;;;
190,625;0,006;;;;;;
191,25;0,0035;;;;;;
191,875;0,0056;;;;;;
192,5;0,0062;;;;;;
193,125;0,0126;;;;;;
193,75;0,0063;;;;;;
194,375;0,0015;;;;;;
195;0,0048;;;;;;
195,625;0,0106;;;;;;
196,25;0,005;;;;;;
196,875;0,0047;;;;;;
197,5;0,0079;;;;;;
198,125;0,0075;;;;;;
198,75;0,0099;;;;;;
199,375;0,0074;;;;;;
200;0,0093;;;;;;
200,625;0,007;;;;;;
201,25;0,0049;;;;;;
201,875;0,0014;;;;;;
202,5;0,0058;;;;;;
203,125;0,0061;;;;;;
203,75;0,007;;;;;;
204,375;0,0139;;;;;;
205;0,0168;;;;;;
205,625;0,0098;;;;;;
206,25;0,0104;;;;;;
206,875;0,009;;;;;;
207,5;0,0113;;;;;;
208,125;0,0043;;;;;;
208,75;0,0519;;;;;;
209,375;0,0574;;;;;;
210;0,017;;;;;;
210,625;0,0044;;;;;;
211,25;0,0129;;;;;;
211,875;0,0154;;;;;;
212,5;0,0096;;;;;;
213,125;0,017;;;;;;
213,75;0,0121;;;;;;
214,375;0,0124;;;;;;
215;0,0145;;;;;;
215,625;0,0107;;;;;;
216,25;0,0098;;;;;;
216,875;0,0077;;;;;;
217,5;0,0094;;;;;;
218,125;0,0025;;;;;;
218,75;0,0045;;;;;;
219,375;0,0058;;;;;;
220;0,0078;;;;;;
220,625;0,0027;;;;;;
221,25;0,0076;;;;;;
221,875;0,0052;;;;;;
222,5;0,0163;;;;;;
223,125;0,0245;;;;;;
223,75;0,0143;;;;;;
224,375;0,0044;;;;;;
225;0,0065;;;;;;
225,625;0,011;;;;;;
226,25;0,0089;;;;;;
226,875;0,0009;;;;;;
227,5;0,0022;;;;;;
228,125;0,0075;;;;;;
228,75;0,0066;;;;;;
229,375;0,0031;;;;;;
230;0,0088;;;;;;
230,625;0,0149;;;;;;
231,25;0,0095;;;;;;
231,875;0,0088;;;;;;
232,5;0,0061;;;;;;
233,125;0,0066;;;;;;
233,75;0,0151;;;;;;
234,375;0,0127;;;;;;
235;0,0047;;;;;;
235,625;0,0023;;;;;;
236,25;0,0113;;;;;;
236,875;0,0057;;;;;;
237,5;0,0158;;;;;;
238,125;0,0115;;;;;;
238,75;0,0032;;;;;;
239,375;0,0152;;;;;;
240;0,0103;;;;;;
240,625;0,0194;;;;;;
241,25;0,0173;;;;;;
241,875;0,0153;;;;;;
242,5;0,0144;;;;;;
243,125;0,0227;;;;;;
243,75;0,0175;;;;;;
244,375;0,0066;;;;;;
245;0,0025;;;;;;
245,625;0,0075;;;;;;
246,25;0,0217;;;;;;
246,875;0,0304;;;;;;
247,5;0,0096;;;;;;
248,125;0,01;;;;;;
248,75;0,0159;;;;;;
249,375;0,0184;;;;;;
250;0,0082;;;;;;
250,625;0,0507;;;;;;
251,25;0,0515;;;;;;
251,875;0,0166;;;;;;
252,5;0,0132;;;;;;
253,125;0,029;;;;;;
253,75;0,0272;;;;;;
254,375;0,0102;;;;;;
255;0,0221;;;;;;
255,625;0,0125;;;;;;
256,25;0,0086;;;;;;
256,875;0,0134;;;;;;
257,5;0,0144;;;;;;
258,125;0,0111;;;;;;
258,75;0,0111;;;;;;
259,375;0,0084;;;;;;
260;0,0036;;;;;;
260,625;0,0069;;;;;;
261,25;0,0087;;;;;;
261,875;0,0094;;;;;;
262,5;0,0029;;;;;;
263,125;0,0094;;;;;;
263,75;0,0051;;;;;;
264,375;0,0094;;;;;;
265;0,0162;;;;;;
265,625;0,0054;;;;;;
266,25;0,0039;;;;;;
266,875;0,0046;;;;;;
267,5;0,0134;;;;;;
268,125;0,013;;;;;;
268,75;0,0055;;;;;;
269,375;0,0051;;;;;;
270;0,0113;;;;;;
270,625;0,0091;;;;;;
271,25;0,0079;;;;;;
271,875;0,0052;;;;;;
272,5;0,0106;;;;;;
273,125;0,0098;;;;;;
273,75;0,006;;;;;;
274,375;0,0067;;;;;;
275;0,0059;;;;;;
275,625;0,0091;;;;;;
276,25;0,0081;;;;;;
276,875;0,0053;;;;;;
277,5;0,0074;;;;;;
278,125;0,0045;;;;;;
278,75;0,004;;;;;;
279,375;0,0094;;;;;;
280;0,0107;;;;;;
280,625;0,0087;;;;;;
281,25;0,0123;;;;;;
281,875;0,0126;;;;;;
282,5;0,0093;;;;;;
283,125;0,0069;;;;;;
283,75;0,0086;;;;;;
284,375;0,0129;;;;;;
285;0,0243;;;;;;
285,625;0,0193;;;;;;
286,25;0,0106;;;;;;
286,875;0,0137;;;;;;
287,5;0,0091;;;;;;
288,125;0,0106;;;;;;
288,75;0,008;;;;;;
289,375;0,0069;;;;;;
290;0,0084;;;;;;
290,625;0,0092;;;;;;
291,25;0,0146;;;;;;
291,875;0,0201;;;;;;
292,5;0,0844;;;;;;
293,125;0,0606;;;;;;
293,75;0,0117;;;;;;
294,375;0,0044;;;;;;
295;0,0079;;;;;;
295,625;0,0144;;;;;;
296,25;0,0167;;;;;;
296,875;0,0191;;;;;;
297,5;0,0152;;;;;;
298,125;0,0138;;;;;;
298,75;0,0155;;;;;;
299,375;0,0101;;;;;;
300;0,0042;;;;;;
300,625;0,0062;;;;;;
301,25;0,0075;;;;;;
301,875;0,014;;;;;;
302,5;0,003;;;;;;
303,125;0,0051;;;;;;
303,75;0,0051;;;;;;
304,375;0,0041;;;;;;
305;0,0031;;;;;;
305,625;0,0029;;;;;;
306,25;0,0101;;;;;;
306,875;0,0114;;;;;;
307,5;0,0089;;;;;;
308,125;0,0075;;;;;;
308,75;0,004;;;;;;
309,375;0,0013;;;;;;
310;0,0027;;;;;;
310,625;0,0049;;;;;;
311,25;0,0015;;;;;;
311,875;0,0048;;;;;;
312,5;0,0051;;;;;;
313,125;0,0083;;;;;;
313,75;0,0017;;;;;;
314,375;0,0079;;;;;;
315;0,0062;;;;;;
315,625;0,0074;;;;;;
316,25;0,0068;;;;;;
316,875;0,0046;;;;;;
317,5;0,0068;;;;;;
318,125;0,0059;;;;;;
318,75;0,0022;;;;;;
319,375;0,0015;;;;;;
320;0,006;;;;;;
320,625;0,0097;;;;;;
321,25;0,012;;;;;;
321,875;0,0055;;;;;;
322,5;0,003;;;;;;
323,125;0,0082;;;;;;
323,75;0,0057;;;;;;
324,375;0,0029;;;;;;
325;0,0069;;;;;;
325,625;0,0107;;;;;;
326,25;0,0038;;;;;;
326,875;0,0127;;;;;;
327,5;0,007;;;;;;
328,125;0,0029;;;;;;
328,75;0,0079;;;;;;
329,375;0,0064;;;;;;
330;0,0036;;;;;;
330,625;0,003;;;;;;
331,25;0,0042;;;;;;
331,875;0,004;;;;;;
332,5;0,0024;;;;;;
333,125;0,0077;;;;;;
333,75;0,0045;;;;;;
334,375;0,0209;;;;;;
335;0,0117;;;;;;
335,625;0,0023;;;;;;
336,25;0,0034;;;;;;
336,875;0,0057;;;;;;
337,5;0,0057;;;;;;
338,125;0,0025;;;;;;
338,75;0,0031;;;;;;
339,375;0,0032;;;;;;
340;0,0032;;;;;;
340,625;0,0058;;;;;;
341,25;0,0047;;;;;;
341,875;0,0038;;;;;;
342,5;0,006;;;;;;
343,125;0,0046;;;;;;
343,75;0,0065;;;;;;
344,375;0,004;;;;;;
345;0,0032;;;;;;
345,625;0,0029;;;;;;
346,25;0,0032;;;;;;
346,875;0,0039;;;;;;
347,5;0,0052;;;;;;
348,125;0,0048;;;;;;
348,75;0,0075;;;;;;
349,375;0,0052;;;;;;
350;0,0037;;;;;;
350,625;0,006;;;;;;
351,25;0,0051;;;;;;
351,875;0,0032;;;;;;
352,5;0,0023;;;;;;
353,125;0,0004;;;;;;
353,75;0,0012;;;;;;
354,375;0,0041;;;;;;
355;0,0057;;;;;;
355,625;0,0034;;;;;;
356,25;0,0034;;;;;;
356,875;0,0023;;;;;;
357,5;0,0027;;;;;;
358,125;0,0055;;;;;;
358,75;0,0059;;;;;;
359,375;0,0045;;;;;;
360;0,0029;;;;;;
360,625;0,0049;;;;;;
361,25;0,0035;;;;;;
361,875;0,0029;;;;;;
362,5;0,0033;;;;;;
363,125;0,0068;;;;;;
363,75;0,0074;;;;;;
364,375;0,0089;;;;;;
365;0,0106;;;;;;
365,625;0,0052;;;;;;
366,25;0,0019;;;;;;
366,875;0,0109;;;;;;
367,5;0,0092;;;;;;
368,125;0,0091;;;;;;
368,75;0,0167;;;;;;
369,375;0,0058;;;;;;
370;0,0049;;;;;;
370,625;0,0077;;;;;;
371,25;0,0076;;;;;;
371,875;0,0094;;;;;;
372,5;0,0083;;;;;;
373,125;0,0015;;;;;;
373,75;0,0019;;;;;;
374,375;0,0015;;;;;;
375;0,0113;;;;;;
375,625;0,0085;;;;;;
376,25;0,0386;;;;;;
376,875;0,0285;;;;;;
377,5;0,0093;;;;;;
378,125;0,0015;;;;;;
378,75;0,0094;;;;;;
379,375;0,0154;;;;;;
380;0,0015;;;;;;
380,625;0,0037;;;;;;
381,25;0,009;;;;;;
381,875;0,0128;;;;;;
382,5;0,0113;;;;;;
383,125;0,0069;;;;;;
383,75;0,0083;;;;;;
384,375;0,0133;;;;;;
385;0,0178;;;;;;
385,625;0,0134;;;;;;
386,25;0,0056;;;;;;
386,875;0,0007;;;;;;
387,5;0,0034;;;;;;
388,125;0,0024;;;;;;
388,75;0,006;;;;;;
389,375;0,003;;;;;;
390;0,0053;;;;;;
390,625;0,0046;;;;;;
391,25;0,0019;;;;;;
391,875;0,0077;;;;;;
392,5;0,0079;;;;;;
393,125;0,0024;;;;;;
393,75;0,0081;;;;;;
394,375;0,0041;;;;;;
395;0,0117;;;;;;
395,625;0,0089;;;;;;
396,25;0,0043;;;;;;
396,875;0,005;;;;;;
397,5;0,0011;;;;;;
398,125;0,0045;;;;;;
398,75;0,0076;;;;;;
399,375;0,0122;;;;;;
400;0,0148;;;;;;
400,625;0,0117;;;;;;
401,25;0,005;;;;;;
401,875;0,0103;;;;;;
