X;Y;X;Y;X;Y;X;Y
0;0;373,406;0,009;91,633;2,307;444,375;0
0,625;0;542,927;0,004;;;444,375;0,006
1,25;0;239,163;0,006;;;444,375;5
1,875;0;37,295;0,003;;;;
2,5;0;;;;;;
3,125;0;;;;;;
3,75;0;;;;;;
4,375;0;;;;;;
5;0;;;;;;
5,625;0;;;;;;
6,25;0;;;;;;
6,875;0;;;;;;
7,5;0;;;;;;
8,125;0;;;;;;
8,75;0;;;;;;
9,375;0;;;;;;
10;0,003;;;;;;
10,625;0,016;;;;;;
11,25;0,003;;;;;;
11,875;0,003;;;;;;
12,5;0,008;;;;;;
13,125;0,005;;;;;;
13,75;0,007;;;;;;
14,375;0,009;;;;;;
15;0,009;;;;;;
15,625;0,002;;;;;;
16,25;0,012;;;;;;
16,875;0,018;;;;;;
17,5;0,015;;;;;;
18,125;0,002;;;;;;
18,75;0,009;;;;;;
19,375;0,002;;;;;;
20;0,003;;;;;;
20,625;0,003;;;;;;
21,25;0,005;;;;;;
21,875;0,003;;;;;;
22,5;0,007;;;;;;
23,125;0,006;;;;;;
23,75;0,02;;;;;;
24,375;0,018;;;;;;
25;0,024;;;;;;
25,625;0,019;;;;;;
26,25;0,01;;;;;;
26,875;0,001;;;;;;
27,5;0,006;;;;;;
28,125;0,002;;;;;;
28,75;0,001;;;;;;
29,375;0,001;;;;;;
30;0,002;;;;;;
30,625;0,002;;;;;;
31,25;0,001;;;;;;
31,875;0,004;;;;;;
32,5;0,001;;;;;;
33,125;0,001;;;;;;
33,75;0,003;;;;;;
34,375;0,002;;;;;;
35;0,003;;;;;;
35,625;0,003;;;;;;
36,25;0,001;;;;;;
36,875;0,002;;;;;;
37,5;0,003;;;;;;
38,125;0,004;;;;;;
38,75;0,001;;;;;;
39,375;0,003;;;;;;
40;0,002;;;;;;
40,625;0,002;;;;;;
41,25;0,002;;;;;;
41,875;0,002;;;;;;
42,5;0,006;;;;;;
43,125;0,001;;;;;;
43,75;0,002;;;;;;
44,375;0,004;;;;;;
45;0,001;;;;;;
45,625;0,001;;;;;;
46,25;0,001;;;;;;
46,875;0,002;;;;;;
47,5;0,01;;;;;;
48,125;0,002;;;;;;
48,75;0,001;;;;;;
49,375;0,002;;;;;;
50;0,001;;;;;;
50,625;0,003;;;;;;
51,25;0,001;;;;;;
51,875;0,002;;;;;;
52,5;0,001;;;;;;
53,125;0,003;;;;;;
53,75;0,005;;;;;;
54,375;0,004;;;;;;
55;0,001;;;;;;
55,625;0,003;;;;;;
56,25;0,002;;;;;;
56,875;0,002;;;;;;
57,5;0,003;;;;;;
58,125;0,003;;;;;;
58,75;0,005;;;;;;
59,375;0,006;;;;;;
60;0,006;;;;;;
60,625;0,007;;;;;;
61,25;0,005;;;;;;
61,875;0,006;;;;;;
62,5;0,005;;;;;;
63,125;0,001;;;;;;
63,75;0,005;;;;;;
